Wavelengths,y
200.0,0.0
201.0,0.0
202.0,0.0
203.0,0.0
204.0,0.0
205.0,0.0
206.0,0.0
207.0,0.0
208.0,0.0
209.0,0.0
210.0,0.0
211.0,0.0
212.0,0.0
213.0,0.0
214.0,0.0
215.0,0.0
216.0,0.0
217.0,0.0
218.0,0.0
219.0,0.0
220.0,0.0
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
229.0,0.0
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,0.0
235.0,0.0
236.0,0.0
237.0,0.0
238.0,0.0
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
245.0,0.0
246.0,0.0
247.0,0.0
248.0,0.0
249.0,0.0
250.0,7950.0
251.0,7800.0
252.0,7649.999999999999
253.0,7500.0
254.0,7350.0
255.0,7350.0
256.0,7200.0
257.0,7200.0
258.0,7050.0
259.0,6900.0
260.0,6750.0
261.0,6600.0
262.0,6300.0
263.0,6000.0
264.0,5700.0
265.0,5400.0
266.0,5250.000000000001
267.0,4950.0
268.0,4650.0
269.0,4500.0
270.0,4500.0
271.0,4350.0
272.0,4350.0
273.0,4500.0
274.0,4500.0
275.0,4500.0
276.0,4650.0
277.0,4800.0
278.0,4950.0
279.0,5250.000000000001
280.0,5400.0
281.0,5700.0
282.0,5850.0
283.0,6150.0
284.0,6449.999999999999
285.0,6750.0
286.0,7050.0
287.0,7500.0
288.0,7800.0
289.0,8100.0
290.0,8550.0
291.0,9000.0
292.0,9450.0
293.0,9900.0
294.0,10500.000000000002
295.0,10950.0
296.0,11550.0
297.0,12150.0
298.0,12750.000000000002
299.0,13350.0
300.0,13950.0
301.0,14400.0
302.0,15000.0
303.0,15450.0
304.0,16050.0
305.0,16500.0
306.0,17100.0
307.0,17400.0
308.0,17850.0
309.0,18300.0
310.0,18600.0
311.0,19050.0
312.0,19200.0
313.0,19500.0
314.0,19650.0
315.0,19800.0
316.0,19800.0
317.0,19650.0
318.0,19350.0
319.0,18900.0
320.0,18450.0
321.0,18000.0
322.0,17400.0
323.0,16800.0
324.0,15900.0
325.0,15000.0
326.0,13950.0
327.0,12899.999999999998
328.0,11700.0
329.0,10500.000000000002
330.0,9450.0
331.0,8400.0
332.0,7350.0
333.0,6449.999999999999
334.0,5850.0
335.0,5250.000000000001
336.0,4800.0
337.0,4350.0
338.0,3900.0
339.0,3600.0
340.0,3300.0
341.0,3150.0
342.0,2850.0
343.0,2700.0
344.0,2550.0
345.0,2550.0
346.0,2400.0
347.0,2250.0
348.0,2250.0
349.0,2100.0
350.0,2100.0
351.0,2100.0
352.0,2100.0
353.0,2100.0
354.0,2100.0
355.0,2100.0
356.0,2100.0
357.0,2100.0
358.0,2100.0
359.0,2100.0
360.0,2250.0
361.0,2250.0
362.0,2400.0
363.0,2550.0
364.0,2550.0
365.0,2700.0
366.0,2850.0
367.0,2850.0
368.0,3000.0
369.0,3150.0
370.0,3150.0
371.0,3300.0
372.0,3300.0
373.0,3450.0
374.0,3450.0
375.0,3450.0
376.0,3600.0
377.0,3750.0
378.0,3900.0
379.0,4050.0
380.0,4200.0
381.0,4350.0
382.0,4350.0
383.0,4650.0
384.0,4800.0
385.0,4950.0
386.0,5100.0
387.0,5400.0
388.0,5550.0
389.0,5550.0
390.0,5700.0
391.0,5850.0
392.0,5850.0
393.0,5850.0
394.0,6000.0
395.0,6000.0
396.0,6000.0
397.0,5850.0
398.0,5850.0
399.0,5850.0
400.0,5850.0
401.0,5700.0
402.0,5700.0
403.0,5850.0
404.0,5850.0
405.0,6000.0
406.0,6300.0
407.0,6449.999999999999
408.0,6750.0
409.0,6900.0
410.0,7200.0
411.0,7500.0
412.0,7649.999999999999
413.0,7950.0
414.0,8100.0
415.0,8250.0
416.0,8100.0
417.0,8100.0
418.0,7950.0
419.0,7649.999999999999
420.0,7350.0
421.0,7050.0
422.0,6600.0
423.0,6150.0
424.0,5700.0
425.0,5100.0
426.0,4650.0
427.0,4200.0
428.0,3750.0
429.0,3300.0
430.0,2850.0
431.0,2550.0
432.0,2250.0
433.0,1950.0
434.0,1650.0
435.0,1500.0
436.0,1350.0
437.0,1200.0
438.0,1050.0
439.0,900.0
440.0,750.0
441.0,750.0
442.0,600.0
443.0,600.0
444.0,600.0
445.0,600.0
446.0,450.0
447.0,450.0
448.0,450.0
449.0,450.0
450.0,450.0
451.0,450.0
452.0,450.0
453.0,450.0
454.0,450.0
455.0,450.0
456.0,450.0
457.0,450.0
458.0,450.0
459.0,450.0
460.0,450.0
461.0,450.0
462.0,450.0
463.0,450.0
464.0,300.0
465.0,450.0
466.0,450.0
467.0,450.0
468.0,450.0
469.0,450.0
470.0,450.0
471.0,450.0
472.0,450.0
473.0,450.0
474.0,450.0
475.0,450.0
476.0,450.0
477.0,450.0
478.0,450.0
479.0,450.0
480.0,450.0
481.0,450.0
482.0,450.0
483.0,450.0
484.0,450.0
485.0,450.0
486.0,600.0
487.0,600.0
488.0,600.0
489.0,600.0
490.0,600.0
491.0,600.0
492.0,600.0
493.0,600.0
494.0,600.0
495.0,600.0
496.0,750.0
497.0,750.0
498.0,750.0
499.0,750.0
500.0,900.0
501.0,900.0
502.0,900.0
503.0,900.0
504.0,900.0
505.0,900.0
506.0,900.0
507.0,1050.0
508.0,1050.0
509.0,1050.0
510.0,1200.0
511.0,1200.0
512.0,1200.0
513.0,1200.0
514.0,1200.0
515.0,1350.0
516.0,1350.0
517.0,1500.0
518.0,1500.0
519.0,1500.0
520.0,1650.0
521.0,1650.0
522.0,1800.0
523.0,1800.0
524.0,1950.0
525.0,2100.0
526.0,2100.0
527.0,2250.0
528.0,2250.0
529.0,2400.0
530.0,2550.0
531.0,2700.0
532.0,2850.0
533.0,3000.0
534.0,3150.0
535.0,3300.0
536.0,3450.0
537.0,3600.0
538.0,3750.0
539.0,3900.0
540.0,4050.0
541.0,4350.0
542.0,4500.0
543.0,4650.0
544.0,4800.0
545.0,5100.0
546.0,5250.000000000001
547.0,5400.0
548.0,5550.0
549.0,5700.0
550.0,6000.0
551.0,6150.0
552.0,6449.999999999999
553.0,6600.0
554.0,6750.0
555.0,7050.0
556.0,7200.0
557.0,7500.0
558.0,7800.0
559.0,7950.0
560.0,8250.0
561.0,8700.0
562.0,9000.0
563.0,9450.0
564.0,9900.0
565.0,10350.0
566.0,10950.0
567.0,11550.0
568.0,12150.0
569.0,12750.000000000002
570.0,13500.0
571.0,14250.0
572.0,15000.0
573.0,15900.0
574.0,16800.0
575.0,17700.0
576.0,18750.0
577.0,19800.0
578.0,20850.000000000004
579.0,21900.0
580.0,23100.0
581.0,24150.0
582.0,25200.0
583.0,26250.0
584.0,27300.0
585.0,28350.0
586.0,29400.0
587.0,30300.000000000004
588.0,31050.0
589.0,31800.0
590.0,32550.0
