Wavelength,y
250.0,7950.0
250.5,7950.0
251.0,7800.0
251.5,7649.999999999999
252.0,7649.999999999999
252.5,7500.0
253.0,7500.0
253.5,7500.0
254.0,7350.0
254.5,7350.0
255.0,7350.0
255.5,7200.0
256.0,7200.0
256.5,7200.0
257.0,7200.0
257.5,7050.0
258.0,7050.0
258.5,7050.0
259.0,6900.0
259.5,6900.0
260.0,6750.0
260.5,6600.0
261.0,6600.0
261.5,6449.999999999999
262.0,6300.0
262.5,6150.0
263.0,6000.0
263.5,5850.0
264.0,5700.0
264.5,5550.0
265.0,5400.0
265.5,5250.000000000001
266.0,5250.000000000001
266.5,5100.0
267.0,4950.0
267.5,4800.0
268.0,4650.0
268.5,4650.0
269.0,4500.0
269.5,4500.0
270.0,4500.0
270.5,4500.0
271.0,4350.0
271.5,4350.0
272.0,4350.0
272.5,4350.0
273.0,4500.0
273.5,4500.0
274.0,4500.0
274.5,4500.0
275.0,4500.0
275.5,4650.0
276.0,4650.0
276.5,4800.0
277.0,4800.0
277.5,4950.0
278.0,4950.0
278.5,5100.0
279.0,5250.000000000001
279.5,5250.000000000001
280.0,5400.0
280.5,5550.0
281.0,5700.0
281.5,5700.0
282.0,5850.0
282.5,6000.0
283.0,6150.0
283.5,6300.0
284.0,6449.999999999999
284.5,6600.0
285.0,6750.0
285.5,6900.0
286.0,7050.0
286.5,7200.0
287.0,7500.0
287.5,7649.999999999999
288.0,7800.0
288.5,7950.0
289.0,8100.0
289.5,8400.0
290.0,8550.0
290.5,8700.0
291.0,9000.0
291.5,9150.0
292.0,9450.0
292.5,9750.0
293.0,9900.0
293.5,10200.0
294.0,10500.000000000002
294.5,10800.0
295.0,10950.0
295.5,11250.0
296.0,11550.0
296.5,11850.0
297.0,12150.0
297.5,12450.0
298.0,12750.000000000002
298.5,13050.0
299.0,13350.0
299.5,13650.0
300.0,13950.0
300.5,14100.0
301.0,14400.0
301.5,14700.0
302.0,15000.0
302.5,15299.999999999998
303.0,15450.0
303.5,15750.0
304.0,16050.0
304.5,16350.0
305.0,16500.0
305.5,16800.0
306.0,17100.0
306.5,17250.0
307.0,17400.0
307.5,17700.0
308.0,17850.0
308.5,18150.0
309.0,18300.0
309.5,18450.0
310.0,18600.0
310.5,18900.0
311.0,19050.0
311.5,19050.0
312.0,19200.0
312.5,19350.0
313.0,19500.0
313.5,19650.0
314.0,19650.0
314.5,19800.0
315.0,19800.0
315.5,19800.0
316.0,19800.0
316.5,19650.0
317.0,19650.0
317.5,19500.0
318.0,19350.0
318.5,19200.0
319.0,18900.0
319.5,18750.0
320.0,18450.0
320.5,18300.0
321.0,18000.0
321.5,17700.0
322.0,17400.0
322.5,17100.0
323.0,16800.0
323.5,16350.0
324.0,15900.0
324.5,15450.0
325.0,15000.0
325.5,14550.0
326.0,13950.0
326.5,13350.0
327.0,12899.999999999998
327.5,12300.0
328.0,11700.0
328.5,11100.0
329.0,10500.000000000002
329.5,10050.0
330.0,9450.0
330.5,8850.0
331.0,8400.0
331.5,7800.0
332.0,7350.0
332.5,6900.0
333.0,6449.999999999999
333.5,6150.0
334.0,5850.0
334.5,5550.0
335.0,5250.000000000001
335.5,4950.0
336.0,4800.0
336.5,4500.0
337.0,4350.0
337.5,4050.0
338.0,3900.0
338.5,3750.0
339.0,3600.0
339.5,3450.0
340.0,3300.0
340.5,3150.0
341.0,3150.0
341.5,3000.0
342.0,2850.0
342.5,2850.0
343.0,2700.0
343.5,2700.0
344.0,2550.0
344.5,2550.0
345.0,2550.0
345.5,2400.0
346.0,2400.0
346.5,2400.0
347.0,2250.0
347.5,2250.0
348.0,2250.0
348.5,2250.0
349.0,2100.0
349.5,2100.0
350.0,2100.0
350.5,2100.0
351.0,2100.0
351.5,2100.0
352.0,2100.0
352.5,2100.0
353.0,2100.0
353.5,2100.0
354.0,2100.0
354.5,2100.0
355.0,2100.0
355.5,2100.0
356.0,2100.0
356.5,2100.0
357.0,2100.0
357.5,2100.0
358.0,2100.0
358.5,2100.0
359.0,2100.0
359.5,2250.0
360.0,2250.0
360.5,2250.0
361.0,2250.0
361.5,2400.0
362.0,2400.0
362.5,2400.0
363.0,2550.0
363.5,2550.0
364.0,2550.0
364.5,2700.0
365.0,2700.0
365.5,2700.0
366.0,2850.0
366.5,2850.0
367.0,2850.0
367.5,2850.0
368.0,3000.0
368.5,3000.0
369.0,3150.0
369.5,3150.0
370.0,3150.0
370.5,3150.0
371.0,3300.0
371.5,3300.0
372.0,3300.0
372.5,3300.0
373.0,3450.0
373.5,3450.0
374.0,3450.0
374.5,3450.0
375.0,3450.0
375.5,3600.0
376.0,3600.0
376.5,3600.0
377.0,3750.0
377.5,3750.0
378.0,3900.0
378.5,3900.0
379.0,4050.0
379.5,4050.0
380.0,4200.0
380.5,4200.0
381.0,4350.0
381.5,4350.0
382.0,4350.0
382.5,4500.0
383.0,4650.0
383.5,4650.0
384.0,4800.0
384.5,4950.0
385.0,4950.0
385.5,5100.0
386.0,5100.0
386.5,5250.000000000001
387.0,5400.0
387.5,5400.0
388.0,5550.0
388.5,5550.0
389.0,5550.0
389.5,5700.0
390.0,5700.0
390.5,5700.0
391.0,5850.0
391.5,5850.0
392.0,5850.0
392.5,5850.0
393.0,5850.0
393.5,5850.0
394.0,6000.0
394.5,6000.0
395.0,6000.0
395.5,6000.0
396.0,6000.0
396.5,5850.0
397.0,5850.0
397.5,5850.0
398.0,5850.0
398.5,5850.0
399.0,5850.0
399.5,5850.0
400.0,5850.0
400.5,5850.0
401.0,5700.0
401.5,5700.0
402.0,5700.0
402.5,5850.0
403.0,5850.0
403.5,5850.0
404.0,5850.0
404.5,6000.0
405.0,6000.0
405.5,6150.0
406.0,6300.0
406.5,6300.0
407.0,6449.999999999999
407.5,6600.0
408.0,6750.0
408.5,6750.0
409.0,6900.0
409.5,7050.0
410.0,7200.0
410.5,7350.0
411.0,7500.0
411.5,7500.0
412.0,7649.999999999999
412.5,7800.0
413.0,7950.0
413.5,8100.0
414.0,8100.0
414.5,8100.0
415.0,8250.0
415.5,8250.0
416.0,8100.0
416.5,8100.0
417.0,8100.0
417.5,7950.0
418.0,7950.0
418.5,7800.0
419.0,7649.999999999999
419.5,7500.0
420.0,7350.0
420.5,7200.0
421.0,7050.0
421.5,6750.0
422.0,6600.0
422.5,6300.0
423.0,6150.0
423.5,5850.0
424.0,5700.0
424.5,5400.0
425.0,5100.0
425.5,4950.0
426.0,4650.0
426.5,4350.0
427.0,4200.0
427.5,3900.0
428.0,3750.0
428.5,3450.0
429.0,3300.0
429.5,3150.0
430.0,2850.0
430.5,2700.0
431.0,2550.0
431.5,2400.0
432.0,2250.0
432.5,2100.0
433.0,1950.0
433.5,1800.0
434.0,1650.0
434.5,1650.0
435.0,1500.0
435.5,1350.0
436.0,1350.0
436.5,1200.0
437.0,1200.0
437.5,1050.0
438.0,1050.0
438.5,900.0
439.0,900.0
439.5,900.0
440.0,750.0
440.5,750.0
441.0,750.0
441.5,750.0
442.0,600.0
442.5,600.0
443.0,600.0
443.5,600.0
444.0,600.0
444.5,600.0
445.0,600.0
445.5,450.0
446.0,450.0
446.5,450.0
447.0,450.0
447.5,450.0
448.0,450.0
448.5,450.0
449.0,450.0
449.5,450.0
450.0,450.0
450.5,450.0
451.0,450.0
451.5,450.0
452.0,450.0
452.5,450.0
453.0,450.0
453.5,450.0
454.0,450.0
454.5,450.0
455.0,450.0
455.5,450.0
456.0,450.0
456.5,450.0
457.0,450.0
457.5,450.0
458.0,450.0
458.5,450.0
459.0,450.0
459.5,450.0
460.0,450.0
460.5,450.0
461.0,450.0
461.5,450.0
462.0,450.0
462.5,450.0
463.0,450.0
463.5,450.0
464.0,300.0
464.5,450.0
465.0,450.0
465.5,450.0
466.0,450.0
466.5,450.0
467.0,450.0
467.5,450.0
468.0,450.0
468.5,450.0
469.0,450.0
469.5,450.0
470.0,450.0
470.5,450.0
471.0,450.0
471.5,450.0
472.0,450.0
472.5,450.0
473.0,450.0
473.5,450.0
474.0,450.0
474.5,450.0
475.0,450.0
475.5,450.0
476.0,450.0
476.5,450.0
477.0,450.0
477.5,450.0
478.0,450.0
478.5,450.0
479.0,450.0
479.5,450.0
480.0,450.0
480.5,450.0
481.0,450.0
481.5,450.0
482.0,450.0
482.5,450.0
483.0,450.0
483.5,450.0
484.0,450.0
484.5,450.0
485.0,450.0
485.5,450.0
486.0,600.0
486.5,600.0
487.0,600.0
487.5,600.0
488.0,600.0
488.5,600.0
489.0,600.0
489.5,600.0
490.0,600.0
490.5,600.0
491.0,600.0
491.5,600.0
492.0,600.0
492.5,600.0
493.0,600.0
493.5,600.0
494.0,600.0
494.5,600.0
495.0,600.0
495.5,600.0
496.0,750.0
496.5,750.0
497.0,750.0
497.5,750.0
498.0,750.0
498.5,750.0
499.0,750.0
499.5,900.0
500.0,900.0
500.5,900.0
501.0,900.0
501.5,900.0
502.0,900.0
502.5,900.0
503.0,900.0
503.5,900.0
504.0,900.0
504.5,900.0
505.0,900.0
505.5,900.0
506.0,900.0
506.5,1050.0
507.0,1050.0
507.5,1050.0
508.0,1050.0
508.5,1050.0
509.0,1050.0
509.5,1050.0
510.0,1200.0
510.5,1200.0
511.0,1200.0
511.5,1200.0
512.0,1200.0
512.5,1200.0
513.0,1200.0
513.5,1200.0
514.0,1200.0
514.5,1350.0
515.0,1350.0
515.5,1350.0
516.0,1350.0
516.5,1350.0
517.0,1500.0
517.5,1500.0
518.0,1500.0
518.5,1500.0
519.0,1500.0
519.5,1650.0
520.0,1650.0
520.5,1650.0
521.0,1650.0
521.5,1650.0
522.0,1800.0
522.5,1800.0
523.0,1800.0
523.5,1800.0
524.0,1950.0
524.5,1950.0
525.0,2100.0
525.5,2100.0
526.0,2100.0
526.5,2250.0
527.0,2250.0
527.5,2250.0
528.0,2250.0
528.5,2400.0
529.0,2400.0
529.5,2550.0
530.0,2550.0
530.5,2700.0
531.0,2700.0
531.5,2850.0
532.0,2850.0
532.5,3000.0
533.0,3000.0
533.5,3150.0
534.0,3150.0
534.5,3150.0
535.0,3300.0
535.5,3300.0
536.0,3450.0
536.5,3600.0
537.0,3600.0
537.5,3750.0
538.0,3750.0
538.5,3900.0
539.0,3900.0
539.5,4050.0
540.0,4050.0
540.5,4200.0
541.0,4350.0
541.5,4350.0
542.0,4500.0
542.5,4500.0
543.0,4650.0
543.5,4800.0
544.0,4800.0
544.5,4950.0
545.0,5100.0
545.5,5100.0
546.0,5250.000000000001
546.5,5250.000000000001
547.0,5400.0
547.5,5550.0
548.0,5550.0
548.5,5700.0
549.0,5700.0
549.5,5850.0
550.0,6000.0
550.5,6000.0
551.0,6150.0
551.5,6300.0
552.0,6449.999999999999
552.5,6449.999999999999
553.0,6600.0
553.5,6750.0
554.0,6750.0
554.5,6900.0
555.0,7050.0
555.5,7050.0
556.0,7200.0
556.5,7350.0
557.0,7500.0
557.5,7649.999999999999
558.0,7800.0
558.5,7950.0
559.0,7950.0
559.5,8100.0
560.0,8250.0
560.5,8550.0
561.0,8700.0
561.5,8850.0
562.0,9000.0
562.5,9300.0
563.0,9450.0
563.5,9750.0
564.0,9900.0
564.5,10200.0
565.0,10350.0
565.5,10649.999999999998
566.0,10950.0
566.5,11250.0
567.0,11550.0
567.5,11850.0
568.0,12150.0
568.5,12450.0
569.0,12750.000000000002
569.5,13050.0
570.0,13500.0
570.5,13800.0
571.0,14250.0
571.5,14700.0
572.0,15000.0
572.5,15450.0
573.0,15900.0
573.5,16350.0
574.0,16800.0
574.5,17250.0
575.0,17700.0
575.5,18300.0
576.0,18750.0
576.5,19200.0
577.0,19800.0
577.5,20250.0
578.0,20850.000000000004
578.5,21450.0
579.0,21900.0
579.5,22500.0
580.0,23100.0
580.5,23550.0
581.0,24150.0
581.5,24600.0
582.0,25200.0
582.5,25799.999999999996
583.0,26250.0
583.5,26850.0
584.0,27300.0
584.5,27900.0
585.0,28350.0
585.5,28950.0
586.0,29400.0
586.5,29850.0
587.0,30300.000000000004
587.5,30749.999999999996
588.0,31050.0
588.5,31500.0
589.0,31800.0
589.5,32250.0
590.0,32550.0
590.5,32850.0
591.0,33150.0
591.5,33450.0
592.0,33750.0
592.5,33900.0
593.0,34200.0
593.5,34350.0
594.0,34500.0
594.5,34650.0
595.0,34800.0
595.5,34950.0
596.0,35100.0
596.5,35100.0
597.0,35250.0
597.5,35250.0
598.0,35250.0
598.5,35400.0
599.0,35400.0
599.5,35400.0
600.0,35400.0
600.5,35400.0
601.0,35550.0
601.5,35550.0
602.0,35550.0
602.5,35550.0
603.0,35700.0
603.5,35700.0
604.0,35850.0
604.5,36000.0
605.0,36000.0
605.5,36150.0
606.0,36300.0
606.5,36450.0
607.0,36750.0
607.5,36900.0
608.0,37200.0
608.5,37500.0
609.0,37800.0
609.5,38250.0
610.0,38700.0
610.5,39150.0
611.0,39600.0
611.5,40200.0
612.0,40800.0
612.5,41400.0
613.0,42150.00000000001
613.5,42749.99999999999
614.0,43650.0
614.5,44400.0
615.0,45300.0
615.5,46350.0
616.0,47250.0
616.5,48300.0
617.0,49500.0
617.5,50700.0
618.0,51899.99999999999
618.5,53250.0
619.0,54600.0
619.5,55950.0
620.0,57450.0
620.5,59100.0
621.0,60600.00000000001
621.5,62400.0
622.0,64050.0
622.5,65850.0
623.0,67800.0
623.5,69750.0
624.0,71700.0
624.5,73800.0
625.0,76050.0
625.5,78150.0
626.0,80400.0
626.5,82650.0
627.0,85049.99999999999
627.5,87450.0
628.0,89850.0
628.5,92250.0
629.0,94800.0
629.5,97350.0
630.0,99900.0
630.5,102450.00000000001
631.0,105150.0
631.5,107700.0
632.0,110400.0
632.5,112950.0
633.0,115650.0
633.5,118200.0
634.0,120750.00000000001
634.5,123300.0
635.0,125700.0
635.5,128100.0
636.0,130500.0
636.5,132750.0
637.0,134850.0
637.5,136800.0
638.0,138750.0
638.5,140550.0
639.0,142200.0
639.5,143850.0
640.0,145200.0
640.5,146400.0
641.0,147450.0
641.5,148350.0
642.0,149100.0
642.5,149550.0
643.0,150000.0
643.5,150000.0
644.0,150000.0
644.5,149700.0
645.0,149100.0
645.5,148500.0
646.0,147450.0
646.5,146400.0
647.0,145050.0
647.5,143700.0
648.0,141900.0
648.5,140100.0
649.0,138000.0
649.5,135750.0
650.0,133500.0
650.5,130950.0
651.0,128400.0
651.5,125700.0
652.0,122849.99999999999
652.5,120000.0
653.0,117000.0
653.5,113850.0
654.0,110700.0
654.5,107550.0
655.0,104249.99999999999
655.5,100950.0
656.0,97800.0
656.5,94500.0
657.0,91350.0
657.5,88050.0
658.0,84899.99999999999
658.5,81750.0
659.0,78750.0
659.5,75600.0
660.0,72600.0
660.5,69750.0
661.0,66900.0
661.5,64050.0
662.0,61199.99999999999
662.5,58650.0
663.0,55950.0
663.5,53400.0
664.0,51000.00000000001
664.5,48600.0
665.0,46350.0
665.5,44100.0
666.0,42000.00000000001
666.5,40050.0
667.0,38100.0
667.5,36150.0
668.0,34350.0
668.5,32550.0
669.0,30900.0
669.5,29400.0
670.0,27900.0
670.5,26400.0
671.0,25050.0
671.5,23700.0
672.0,22500.0
672.5,21299.999999999996
673.0,20250.0
673.5,19050.0
674.0,18150.0
674.5,17100.0
675.0,16200.0
675.5,15299.999999999998
676.0,14400.0
676.5,13650.0
677.0,12899.999999999998
677.5,12150.0
678.0,11550.0
678.5,10950.0
679.0,10350.0
679.5,9750.0
680.0,9300.0
680.5,8700.0
681.0,8250.0
681.5,7800.0
682.0,7350.0
682.5,6900.0
683.0,6600.0
683.5,6150.0
684.0,5850.0
684.5,5550.0
685.0,5250.000000000001
685.5,4950.0
686.0,4650.0
686.5,4500.0
687.0,4200.0
687.5,4050.0
688.0,3750.0
688.5,3600.0
689.0,3450.0
689.5,3300.0
690.0,3000.0
690.5,2850.0
691.0,2700.0
691.5,2550.0
692.0,2550.0
692.5,2400.0
693.0,2250.0
693.5,2100.0
694.0,2100.0
694.5,1950.0
695.0,1800.0
695.5,1800.0
696.0,1650.0
696.5,1650.0
697.0,1500.0
697.5,1500.0
698.0,1350.0
698.5,1350.0
699.0,1350.0
699.5,1200.0
700.0,1200.0
700.5,1050.0
701.0,1050.0
701.5,1050.0
702.0,900.0
702.5,900.0
703.0,900.0
703.5,900.0
704.0,900.0
704.5,750.0
705.0,750.0
705.5,750.0
706.0,750.0
706.5,750.0
707.0,600.0
707.5,600.0
708.0,600.0
708.5,600.0
709.0,600.0
709.5,600.0
710.0,600.0
710.5,600.0
711.0,600.0
711.5,600.0
712.0,600.0
712.5,450.0
713.0,450.0
713.5,450.0
714.0,450.0
714.5,450.0
715.0,450.0
715.5,450.0
716.0,450.0
716.5,450.0
717.0,450.0
717.5,450.0
718.0,450.0
718.5,450.0
719.0,450.0
719.5,450.0
720.0,450.0
720.5,450.0
721.0,450.0
721.5,450.0
722.0,450.0
722.5,450.0
723.0,450.0
723.5,300.0
724.0,300.0
724.5,300.0
725.0,300.0
725.5,450.0
726.0,450.0
726.5,450.0
727.0,450.0
727.5,300.0
728.0,300.0
728.5,300.0
729.0,300.0
729.5,300.0
730.0,300.0
730.5,300.0
731.0,300.0
731.5,300.0
732.0,300.0
732.5,300.0
733.0,300.0
733.5,300.0
734.0,300.0
734.5,300.0
735.0,300.0
735.5,300.0
736.0,300.0
736.5,300.0
737.0,300.0
737.5,300.0
738.0,300.0
738.5,300.0
739.0,300.0
739.5,300.0
740.0,450.0
740.5,450.0
741.0,450.0
741.5,450.0
742.0,450.0
742.5,300.0
743.0,300.0
743.5,300.0
744.0,300.0
744.5,300.0
745.0,300.0
745.5,300.0
746.0,300.0
746.5,300.0
747.0,300.0
747.5,300.0
748.0,300.0
748.5,300.0
749.0,300.0
749.5,300.0
750.0,300.0
750.5,300.0
751.0,300.0
751.5,300.0
752.0,300.0
752.5,300.0
753.0,300.0
753.5,300.0
754.0,300.0
754.5,300.0
755.0,300.0
755.5,300.0
756.0,300.0
756.5,300.0
757.0,300.0
757.5,300.0
758.0,300.0
758.5,300.0
759.0,300.0
759.5,300.0
760.0,300.0
760.5,300.0
761.0,300.0
761.5,300.0
762.0,300.0
762.5,300.0
763.0,300.0
763.5,300.0
764.0,300.0
764.5,300.0
765.0,300.0
765.5,300.0
766.0,300.0
766.5,300.0
767.0,300.0
767.5,300.0
768.0,300.0
768.5,300.0
769.0,300.0
769.5,300.0
770.0,300.0
770.5,300.0
771.0,300.0
771.5,300.0
772.0,300.0
772.5,300.0
773.0,300.0
773.5,300.0
774.0,300.0
774.5,300.0
775.0,300.0
775.5,300.0
776.0,300.0
