Wavelength,y
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.001
607,0.001
608,0.001
609,0.001
610,0.002
611,0.002
612,0.003
613,0.003
614,0.004
615,0.005
616,0.005
617,0.007
618,0.008
619,0.009
620,0.011
621,0.014
622,0.016
623,0.019
624,0.023
625,0.027
626,0.032
627,0.039
628,0.046
629,0.054
630,0.063
631,0.074
632,0.087
633,0.101
634,0.117
635,0.135
636,0.156
637,0.18
638,0.206
639,0.234
640,0.265
641,0.299
642,0.335
643,0.373
644,0.414
645,0.455
646,0.499
647,0.542
648,0.586
649,0.629
650,0.672
651,0.713
652,0.752
653,0.787
654,0.821
655,0.853
656,0.881
657,0.907
658,0.929
659,0.948
660,0.965
661,0.978
662,0.988
663,0.994
664,0.999
665,1.0
666,0.999
667,0.994
668,0.99
669,0.982
670,0.974
671,0.963
672,0.948
673,0.934
674,0.92
675,0.903
676,0.886
677,0.87
678,0.853
679,0.836
680,0.819
681,0.801
682,0.784
683,0.766
684,0.75
685,0.732
686,0.714
687,0.697
688,0.68
689,0.663
690,0.647
691,0.631
692,0.615
693,0.601
694,0.585
695,0.572
696,0.558
697,0.546
698,0.533
699,0.52
700,0.508
701,0.497
702,0.486
703,0.475
704,0.464
705,0.454
706,0.445
707,0.435
708,0.427
709,0.419
710,0.411
711,0.403
712,0.395
713,0.386
714,0.378
715,0.371
716,0.364
717,0.356
718,0.349
719,0.343
720,0.338
721,0.332
722,0.326
723,0.32
724,0.315
725,0.31
726,0.304
727,0.298
728,0.292
729,0.286
730,0.281
731,0.276
732,0.27
733,0.265
734,0.259
735,0.253
736,0.247
737,0.242
738,0.237
739,0.231
740,0.225
741,0.219
742,0.213
743,0.208
744,0.202
745,0.197
746,0.191
747,0.186
748,0.181
749,0.176
750,0.172
751,0.167
752,0.163
753,0.158
754,0.154
755,0.151
756,0.146
757,0.142
758,0.137
759,0.134
760,0.13
761,0.127
762,0.124
763,0.12
764,0.117
765,0.114
766,0.111
767,0.107
768,0.103
769,0.099
770,0.096
771,0.093
772,0.091
773,0.089
774,0.087
775,0.085
776,0.084
777,0.082
778,0.081
779,0.079
780,0.077
781,0.074
782,0.072
783,0.07
784,0.069
785,0.066
786,0.065
787,0.064
788,0.062
789,0.061
790,0.06
791,0.058
792,0.056
793,0.055
794,0.053
795,0.052
796,0.05
797,0.049
798,0.047
799,0.046
800,0.045
801,0.044
802,0.043
803,0.042
804,0.041
805,0.039
806,0.038
807,0.037
808,0.036
809,0.036
810,0.035
811,0.035
812,0.034
813,0.033
814,0.032
815,0.032
816,0.032
817,0.031
818,0.031
819,0.029
820,0.029
821,0.028
822,0.027
823,0.027
824,0.026
825,0.025
826,0.024
827,0.024
828,0.023
829,0.023
830,0.022
831,0.022
832,0.021
833,0.021
834,0.02
835,0.02
836,0.019
837,0.019
838,0.018
839,0.018
840,0.017
841,0.017
842,0.017
843,0.016
844,0.016
845,0.015
846,0.015
847,0.014
848,0.014
849,0.013
850,0.013
851,0.013
852,0.013
853,0.012
854,0.012
855,0.012
856,0.012
857,0.011
858,0.011
859,0.011
860,0.01
861,0.01
862,0.01
863,0.009
864,0.009
865,0.009
866,0.008
867,0.008
868,0.008
869,0.007
870,0.007
871,0.007
872,0.007
873,0.006
874,0.007
875,0.007
876,0.007
877,0.006
878,0.006
879,0.006
880,0.006
881,0.006
882,0.006
883,0.006
884,0.006
885,0.005
886,0.005
887,0.005
888,0.005
889,0.005
890,0.005
891,0.004
892,0.004
893,0.004
894,0.004
895,0.004
896,0.004
897,0.004
898,0.004
899,0.004
900,0.003
