wavelength [nm],relative extinction
250,0.053
250.5,0.053
251,0.052
251.5,0.051
252,0.051
252.5,0.05
253,0.05
253.5,0.05
254,0.049
254.5,0.049
255,0.049
255.5,0.048
256,0.048
256.5,0.048
257,0.048
257.5,0.047
258,0.047
258.5,0.047
259,0.046
259.5,0.046
260,0.045
260.5,0.044
261,0.044
261.5,0.043
262,0.042
262.5,0.041
263,0.04
263.5,0.039
264,0.038
264.5,0.037
265,0.036
265.5,0.035
266,0.035
266.5,0.034
267,0.033
267.5,0.032
268,0.031
268.5,0.031
269,0.03
269.5,0.03
270,0.03
270.5,0.03
271,0.029
271.5,0.029
272,0.029
272.5,0.029
273,0.03
273.5,0.03
274,0.03
274.5,0.03
275,0.03
275.5,0.031
276,0.031
276.5,0.032
277,0.032
277.5,0.033
278,0.033
278.5,0.034
279,0.035
279.5,0.035
280,0.036
280.5,0.037
281,0.038
281.5,0.038
282,0.039
282.5,0.04
283,0.041
283.5,0.042
284,0.043
284.5,0.044
285,0.045
285.5,0.046
286,0.047
286.5,0.048
287,0.05
287.5,0.051
288,0.052
288.5,0.053
289,0.054
289.5,0.056
290,0.057
290.5,0.058
291,0.06
291.5,0.061
292,0.063
292.5,0.065
293,0.066
293.5,0.068
294,0.07
294.5,0.072
295,0.073
295.5,0.075
296,0.077
296.5,0.079
297,0.081
297.5,0.083
298,0.085
298.5,0.087
299,0.089
299.5,0.091
300,0.093
300.5,0.094
301,0.096
301.5,0.098
302,0.1
302.5,0.102
303,0.103
303.5,0.105
304,0.107
304.5,0.109
305,0.11
305.5,0.112
306,0.114
306.5,0.115
307,0.116
307.5,0.118
308,0.119
308.5,0.121
309,0.122
309.5,0.123
310,0.124
310.5,0.126
311,0.127
311.5,0.127
312,0.128
312.5,0.129
313,0.13
313.5,0.131
314,0.131
314.5,0.132
315,0.132
315.5,0.132
316,0.132
316.5,0.131
317,0.131
317.5,0.13
318,0.129
318.5,0.128
319,0.126
319.5,0.125
320,0.123
320.5,0.122
321,0.12
321.5,0.118
322,0.116
322.5,0.114
323,0.112
323.5,0.109
324,0.106
324.5,0.103
325,0.1
325.5,0.097
326,0.093
326.5,0.089
327,0.086
327.5,0.082
328,0.078
328.5,0.074
329,0.07
329.5,0.067
330,0.063
330.5,0.059
331,0.056
331.5,0.052
332,0.049
332.5,0.046
333,0.043
333.5,0.041
334,0.039
334.5,0.037
335,0.035
335.5,0.033
336,0.032
336.5,0.03
337,0.029
337.5,0.027
338,0.026
338.5,0.025
339,0.024
339.5,0.023
340,0.022
340.5,0.021
341,0.021
341.5,0.02
342,0.019
342.5,0.019
343,0.018
343.5,0.018
344,0.017
344.5,0.017
345,0.017
345.5,0.016
346,0.016
346.5,0.016
347,0.015
347.5,0.015
348,0.015
348.5,0.015
349,0.014
349.5,0.014
350,0.014
350.5,0.014
351,0.014
351.5,0.014
352,0.014
352.5,0.014
353,0.014
353.5,0.014
354,0.014
354.5,0.014
355,0.014
355.5,0.014
356,0.014
356.5,0.014
357,0.014
357.5,0.014
358,0.014
358.5,0.014
359,0.014
359.5,0.015
360,0.015
360.5,0.015
361,0.015
361.5,0.016
362,0.016
362.5,0.016
363,0.017
363.5,0.017
364,0.017
364.5,0.018
365,0.018
365.5,0.018
366,0.019
366.5,0.019
367,0.019
367.5,0.019
368,0.02
368.5,0.02
369,0.021
369.5,0.021
370,0.021
370.5,0.021
371,0.022
371.5,0.022
372,0.022
372.5,0.022
373,0.023
373.5,0.023
374,0.023
374.5,0.023
375,0.023
375.5,0.024
376,0.024
376.5,0.024
377,0.025
377.5,0.025
378,0.026
378.5,0.026
379,0.027
379.5,0.027
380,0.028
380.5,0.028
381,0.029
381.5,0.029
382,0.029
382.5,0.03
383,0.031
383.5,0.031
384,0.032
384.5,0.033
385,0.033
385.5,0.034
386,0.034
386.5,0.035
387,0.036
387.5,0.036
388,0.037
388.5,0.037
389,0.037
389.5,0.038
390,0.038
390.5,0.038
391,0.039
391.5,0.039
392,0.039
392.5,0.039
393,0.039
393.5,0.039
394,0.04
394.5,0.04
395,0.04
395.5,0.04
396,0.04
396.5,0.039
397,0.039
397.5,0.039
398,0.039
398.5,0.039
399,0.039
399.5,0.039
400,0.039
400.5,0.039
401,0.038
401.5,0.038
402,0.038
402.5,0.039
403,0.039
403.5,0.039
404,0.039
404.5,0.04
405,0.04
405.5,0.041
406,0.042
406.5,0.042
407,0.043
407.5,0.044
408,0.045
408.5,0.045
409,0.046
409.5,0.047
410,0.048
410.5,0.049
411,0.05
411.5,0.05
412,0.051
412.5,0.052
413,0.053
413.5,0.054
414,0.054
414.5,0.054
415,0.055
415.5,0.055
416,0.054
416.5,0.054
417,0.054
417.5,0.053
418,0.053
418.5,0.052
419,0.051
419.5,0.05
420,0.049
420.5,0.048
421,0.047
421.5,0.045
422,0.044
422.5,0.042
423,0.041
423.5,0.039
424,0.038
424.5,0.036
425,0.034
425.5,0.033
426,0.031
426.5,0.029
427,0.028
427.5,0.026
428,0.025
428.5,0.023
429,0.022
429.5,0.021
430,0.019
430.5,0.018
431,0.017
431.5,0.016
432,0.015
432.5,0.014
433,0.013
433.5,0.012
434,0.011
434.5,0.011
435,0.01
435.5,0.009
436,0.009
436.5,0.008
437,0.008
437.5,0.007
438,0.007
438.5,0.006
439,0.006
439.5,0.006
440,0.005
440.5,0.005
441,0.005
441.5,0.005
442,0.004
442.5,0.004
443,0.004
443.5,0.004
444,0.004
444.5,0.004
445,0.004
445.5,0.003
446,0.003
446.5,0.003
447,0.003
447.5,0.003
448,0.003
448.5,0.003
449,0.003
449.5,0.003
450,0.003
450.5,0.003
451,0.003
451.5,0.003
452,0.003
452.5,0.003
453,0.003
453.5,0.003
454,0.003
454.5,0.003
455,0.003
455.5,0.003
456,0.003
456.5,0.003
457,0.003
457.5,0.003
458,0.003
458.5,0.003
459,0.003
459.5,0.003
460,0.003
460.5,0.003
461,0.003
461.5,0.003
462,0.003
462.5,0.003
463,0.003
463.5,0.003
464,0.002
464.5,0.003
465,0.003
465.5,0.003
466,0.003
466.5,0.003
467,0.003
467.5,0.003
468,0.003
468.5,0.003
469,0.003
469.5,0.003
470,0.003
470.5,0.003
471,0.003
471.5,0.003
472,0.003
472.5,0.003
473,0.003
473.5,0.003
474,0.003
474.5,0.003
475,0.003
475.5,0.003
476,0.003
476.5,0.003
477,0.003
477.5,0.003
478,0.003
478.5,0.003
479,0.003
479.5,0.003
480,0.003
480.5,0.003
481,0.003
481.5,0.003
482,0.003
482.5,0.003
483,0.003
483.5,0.003
484,0.003
484.5,0.003
485,0.003
485.5,0.003
486,0.004
486.5,0.004
487,0.004
487.5,0.004
488,0.004
488.5,0.004
489,0.004
489.5,0.004
490,0.004
490.5,0.004
491,0.004
491.5,0.004
492,0.004
492.5,0.004
493,0.004
493.5,0.004
494,0.004
494.5,0.004
495,0.004
495.5,0.004
496,0.005
496.5,0.005
497,0.005
497.5,0.005
498,0.005
498.5,0.005
499,0.005
499.5,0.006
500,0.006
500.5,0.006
501,0.006
501.5,0.006
502,0.006
502.5,0.006
503,0.006
503.5,0.006
504,0.006
504.5,0.006
505,0.006
505.5,0.006
506,0.006
506.5,0.007
507,0.007
507.5,0.007
508,0.007
508.5,0.007
509,0.007
509.5,0.007
510,0.008
510.5,0.008
511,0.008
511.5,0.008
512,0.008
512.5,0.008
513,0.008
513.5,0.008
514,0.008
514.5,0.009
515,0.009
515.5,0.009
516,0.009
516.5,0.009
517,0.01
517.5,0.01
518,0.01
518.5,0.01
519,0.01
519.5,0.011
520,0.011
520.5,0.011
521,0.011
521.5,0.011
522,0.012
522.5,0.012
523,0.012
523.5,0.012
524,0.013
524.5,0.013
525,0.014
525.5,0.014
526,0.014
526.5,0.015
527,0.015
527.5,0.015
528,0.015
528.5,0.016
529,0.016
529.5,0.017
530,0.017
530.5,0.018
531,0.018
531.5,0.019
532,0.019
532.5,0.02
533,0.02
533.5,0.021
534,0.021
534.5,0.021
535,0.022
535.5,0.022
536,0.023
536.5,0.024
537,0.024
537.5,0.025
538,0.025
538.5,0.026
539,0.026
539.5,0.027
540,0.027
540.5,0.028
541,0.029
541.5,0.029
542,0.03
542.5,0.03
543,0.031
543.5,0.032
544,0.032
544.5,0.033
545,0.034
545.5,0.034
546,0.035
546.5,0.035
547,0.036
547.5,0.037
548,0.037
548.5,0.038
549,0.038
549.5,0.039
550,0.04
550.5,0.04
551,0.041
551.5,0.042
552,0.043
552.5,0.043
553,0.044
553.5,0.045
554,0.045
554.5,0.046
555,0.047
555.5,0.047
556,0.048
556.5,0.049
557,0.05
557.5,0.051
558,0.052
558.5,0.053
559,0.053
559.5,0.054
560,0.055
560.5,0.057
561,0.058
561.5,0.059
562,0.06
562.5,0.062
563,0.063
563.5,0.065
564,0.066
564.5,0.068
565,0.069
565.5,0.071
566,0.073
566.5,0.075
567,0.077
567.5,0.079
568,0.081
568.5,0.083
569,0.085
569.5,0.087
570,0.09
570.5,0.092
571,0.095
571.5,0.098
572,0.1
572.5,0.103
573,0.106
573.5,0.109
574,0.112
574.5,0.115
575,0.118
575.5,0.122
576,0.125
576.5,0.128
577,0.132
577.5,0.135
578,0.139
578.5,0.143
579,0.146
579.5,0.15
580,0.154
580.5,0.157
581,0.161
581.5,0.164
582,0.168
582.5,0.172
583,0.175
583.5,0.179
584,0.182
584.5,0.186
585,0.189
585.5,0.193
586,0.196
586.5,0.199
587,0.202
587.5,0.205
588,0.207
588.5,0.21
589,0.212
589.5,0.215
590,0.217
590.5,0.219
591,0.221
591.5,0.223
592,0.225
592.5,0.226
593,0.228
593.5,0.229
594,0.23
594.5,0.231
595,0.232
595.5,0.233
596,0.234
596.5,0.234
597,0.235
597.5,0.235
598,0.235
598.5,0.236
599,0.236
599.5,0.236
600,0.236
600.5,0.236
601,0.237
601.5,0.237
602,0.237
602.5,0.237
603,0.238
603.5,0.238
604,0.239
604.5,0.24
605,0.24
605.5,0.241
606,0.242
606.5,0.243
607,0.245
607.5,0.246
608,0.248
608.5,0.25
609,0.252
609.5,0.255
610,0.258
610.5,0.261
611,0.264
611.5,0.268
612,0.272
612.5,0.276
613,0.281
613.5,0.285
614,0.291
614.5,0.296
615,0.302
615.5,0.309
616,0.315
616.5,0.322
617,0.33
617.5,0.338
618,0.346
618.5,0.355
619,0.364
619.5,0.373
620,0.383
620.5,0.394
621,0.404
621.5,0.416
622,0.427
622.5,0.439
623,0.452
623.5,0.465
624,0.478
624.5,0.492
625,0.507
625.5,0.521
626,0.536
626.5,0.551
627,0.567
627.5,0.583
628,0.599
628.5,0.615
629,0.632
629.5,0.649
630,0.666
630.5,0.683
631,0.701
631.5,0.718
632,0.736
632.5,0.753
633,0.771
633.5,0.788
634,0.805
634.5,0.822
635,0.838
635.5,0.854
636,0.87
636.5,0.885
637,0.899
637.5,0.912
638,0.925
638.5,0.937
639,0.948
639.5,0.959
640,0.968
640.5,0.976
641,0.983
641.5,0.989
642,0.994
642.5,0.997
643,1.0
643.5,1.0
644,1.0
644.5,0.998
645,0.994
645.5,0.99
646,0.983
646.5,0.976
647,0.967
647.5,0.958
648,0.946
648.5,0.934
649,0.92
649.5,0.905
650,0.89
650.5,0.873
651,0.856
651.5,0.838
652,0.819
652.5,0.8
653,0.78
653.5,0.759
654,0.738
654.5,0.717
655,0.695
655.5,0.673
656,0.652
656.5,0.63
657,0.609
657.5,0.587
658,0.566
658.5,0.545
659,0.525
659.5,0.504
660,0.484
660.5,0.465
661,0.446
661.5,0.427
662,0.408
662.5,0.391
663,0.373
663.5,0.356
664,0.34
664.5,0.324
665,0.309
665.5,0.294
666,0.28
666.5,0.267
667,0.254
667.5,0.241
668,0.229
668.5,0.217
669,0.206
669.5,0.196
670,0.186
670.5,0.176
671,0.167
671.5,0.158
672,0.15
672.5,0.142
673,0.135
673.5,0.127
674,0.121
674.5,0.114
675,0.108
675.5,0.102
676,0.096
676.5,0.091
677,0.086
677.5,0.081
678,0.077
678.5,0.073
679,0.069
679.5,0.065
680,0.062
680.5,0.058
681,0.055
681.5,0.052
682,0.049
682.5,0.046
683,0.044
683.5,0.041
684,0.039
684.5,0.037
685,0.035
685.5,0.033
686,0.031
686.5,0.03
687,0.028
687.5,0.027
688,0.025
688.5,0.024
689,0.023
689.5,0.022
690,0.02
690.5,0.019
691,0.018
691.5,0.017
692,0.017
692.5,0.016
693,0.015
693.5,0.014
694,0.014
694.5,0.013
695,0.012
695.5,0.012
696,0.011
696.5,0.011
697,0.01
697.5,0.01
698,0.009
698.5,0.009
699,0.009
699.5,0.008
700,0.008
700.5,0.007
701,0.007
701.5,0.007
702,0.006
702.5,0.006
703,0.006
703.5,0.006
704,0.006
704.5,0.005
705,0.005
705.5,0.005
706,0.005
706.5,0.005
707,0.004
707.5,0.004
708,0.004
708.5,0.004
709,0.004
709.5,0.004
710,0.004
710.5,0.004
711,0.004
711.5,0.004
712,0.004
712.5,0.003
713,0.003
713.5,0.003
714,0.003
714.5,0.003
715,0.003
715.5,0.003
716,0.003
716.5,0.003
717,0.003
717.5,0.003
718,0.003
718.5,0.003
719,0.003
719.5,0.003
720,0.003
720.5,0.003
721,0.003
721.5,0.003
722,0.003
722.5,0.003
723,0.003
723.5,0.002
724,0.002
724.5,0.002
725,0.002
725.5,0.003
726,0.003
726.5,0.003
727,0.003
727.5,0.002
728,0.002
728.5,0.002
729,0.002
729.5,0.002
730,0.002
730.5,0.002
731,0.002
731.5,0.002
732,0.002
732.5,0.002
733,0.002
733.5,0.002
734,0.002
734.5,0.002
735,0.002
735.5,0.002
736,0.002
736.5,0.002
737,0.002
737.5,0.002
738,0.002
738.5,0.002
739,0.002
739.5,0.002
740,0.003
