Wavelength,y
617,0.0094
618,0.0094
619,0.0094
620,0.0129
621,0.0129
622,0.0164
623,0.0199
624,0.0199
625,0.0234
626,0.0287
627,0.0322
628,0.0392
629,0.0427
630,0.0532
631,0.0601
632,0.0671
633,0.0846
634,0.0986
635,0.1161
636,0.13
637,0.158
638,0.1755
639,0.1929
640,0.2314
641,0.2628
642,0.3047
643,0.3327
644,0.3816
645,0.413
646,0.4637
647,0.4986
648,0.558
649,0.593
650,0.6384
651,0.6943
652,0.7292
653,0.7816
654,0.7816
655,0.8742
656,0.8882
657,0.9336
658,0.9476
659,0.9615
660,0.9825
661,0.993
662,1
663,1
664,1
665,1
666,0.993
667,0.986
668,0.9791
669,0.9581
670,0.9441
671,0.9162
672,0.8987
673,0.8533
674,0.8411
675,0.8167
676,0.7783
677,0.7538
678,0.7119
679,0.6874
680,0.6316
681,0.6176
682,0.5931
683,0.5582
684,0.5373
685,0.5023
686,0.4849
687,0.4535
688,0.4377
689,0.4168
690,0.3923
691,0.3784
692,0.3539
693,0.3434
694,0.319
695,0.312
696,0.3015
697,0.2876
698,0.2806
699,0.2666
700,0.2631
701,0.2492
702,0.2457
703,0.2317
704,0.2282
705,0.2248
706,0.2213
707,0.2178
708,0.2143
709,0.2108
710,0.2038
711,0.2038
712,0.2003
713,0.1969
714,0.1969
715,0.1934
716,0.1934
717,0.1899
718,0.1899
719,0.1864
720,0.1864
721,0.1829
722,0.1829
723,0.1794
724,0.176
725,0.176
726,0.169
727,0.169
728,0.1655
729,0.162
730,0.1585
731,0.155
732,0.1515
733,0.1446
734,0.1446
735,0.1411
736,0.1376
737,0.1341
738,0.1306
739,0.1271
740,0.1167
741,0.1167
742,0.1132
743,0.1097
744,0.1062
745,0.1027
746,0.0992
747,0.0958
748,0.0923
749,0.0853
750,0.0853
751,0.0818
752,0.0783
753,0.0748
754,0.0713
755,0.0679
756,0.0644
757,0.0644
758,0.0609
759,0.0609
760,0.0574
761,0.0539
762,0.0539
763,0.0469
764,0.0469
765,0.0435
766,0.0435
767,0.0435
768,0.04
769,0.04
770,0.0365
771,0.0365
772,0.0365
773,0.0365
774,0.033
775,0.033
776,0.0295
777,0.0296
778,0.0296
779,0.0296
780,0.0296
781,0.0296
782,0.0278
783,0.0278
784,0.0278
785,0.0279
786,0.0279
787,0.0279
788,0.0244
789,0.0244
790,0.0244
791,0.0244
792,0.0244
793,0.0244
794,0.0244
795,0.0244
796,0.0244
797,0.0244
798,0.0209
799,0.0209
