wavelength [nm],relative extinction
507,0.0105
508,0.0105
509,0.0105
510,0.0105
511,0.0105
512,0.0105
513,0.014
514,0.014
515,0.014
516,0.014
517,0.0175
518,0.0175
519,0.0175
520,0.0175
521,0.0176
522,0.021
523,0.021
524,0.0245
525,0.0246
526,0.0246
527,0.0246
528,0.0281
529,0.0281
530,0.0281
531,0.0298
532,0.0298
533,0.0333
534,0.0333
535,0.0368
536,0.0368
537,0.0368
538,0.0438
539,0.0438
540,0.0473
541,0.0473
542,0.0508
543,0.0543
544,0.0543
545,0.0578
546,0.0578
547,0.0613
548,0.0613
549,0.0683
550,0.0683
551,0.0718
552,0.0753
553,0.0753
554,0.0788
555,0.0788
556,0.0823
557,0.0823
558,0.0893
559,0.0928
560,0.0963
561,0.0997
562,0.0997
563,0.1032
564,0.1033
565,0.1102
566,0.1137
567,0.1172
568,0.1242
569,0.1277
570,0.1312
571,0.1347
572,0.1417
573,0.1451
574,0.1521
575,0.1591
576,0.1696
577,0.1766
578,0.18
579,0.1975
580,0.2045
581,0.2149
582,0.2219
583,0.2289
584,0.2359
585,0.2464
586,0.2533
587,0.2603
588,0.2708
589,0.2778
590,0.2882
591,0.2952
592,0.3022
593,0.3057
594,0.3127
595,0.3196
596,0.3231
597,0.3301
598,0.3301
599,0.3336
600,0.3371
601,0.3371
602,0.3371
603,0.3371
604,0.3371
605,0.3371
606,0.3337
607,0.3372
608,0.3372
609,0.3407
610,0.3407
611,0.3442
612,0.3476
613,0.3511
614,0.3581
615,0.3721
616,0.3791
617,0.393
618,0.4035
619,0.4209
620,0.4349
621,0.4506
622,0.4715
623,0.489
624,0.5134
625,0.5378
626,0.5692
627,0.5901
628,0.625
629,0.6459
630,0.6668
631,0.7017
632,0.7192
633,0.7541
634,0.7855
635,0.8203
636,0.8448
637,0.8779
638,0.8988
639,0.9197
640,0.9442
641,0.9581
642,0.9756
643,0.986
644,1.0
645,1.0
646,1.0
647,1.0
648,0.9965
649,0.9826
650,0.9686
651,0.9442
652,0.9163
653,0.8745
654,0.8501
655,0.8239
656,0.7786
657,0.7402
658,0.6879
659,0.6531
660,0.5973
661,0.5624
662,0.5275
663,0.4717
664,0.4316
665,0.3828
666,0.3584
667,0.3131
668,0.2887
669,0.2643
670,0.2294
671,0.2085
672,0.1771
673,0.1562
674,0.1318
675,0.1178
676,0.1074
677,0.0899
678,0.0795
679,0.0656
680,0.0586
681,0.0481
682,0.0446
683,0.0342
684,0.0307
685,0.029
686,0.0255
687,0.022
688,0.0185
689,0.015
690,0.015
691,0.0116
692,0.0116
693,0.0116
694,0.0116
